stateabb,ccode,statenme,GEO,_ISO3N_
USA,2,United States of America,Northern America,840
CAN,20,Canada,Northern America,124
BHM,31,Bahamas,Caribbean,44
CUB,40,Cuba,Caribbean,192
CUB,40,Cuba,Caribbean,192
HAI,41,Haiti,Caribbean,332
HAI,41,Haiti,Caribbean,332
DOM,42,Dominican Republic,Caribbean,214
DOM,42,Dominican Republic,Caribbean,214
JAM,51,Jamaica,Caribbean,388
TRI,52,Trinidad and Tobago,Caribbean,780
BAR,53,Barbados,Caribbean,52
DMA,54,Dominica,Caribbean,212
GRN,55,Grenada,Caribbean,308
SLU,56,St. Lucia,Caribbean,662
SVG,57,St. Vincent and the Grenadines,Caribbean,670
AAB,58,Antigua & Barbuda,Caribbean,28
SKN,60,St. Kitts and Nevis,Caribbean,659
MEX,70,Mexico,Central America,484
BLZ,80,Belize,Central America,84
GUA,90,Guatemala,Central America,320
HON,91,Honduras,Central America,340
SAL,92,El Salvador,Central America,222
NIC,93,Nicaragua,Central America,558
COS,94,Costa Rica,Central America,188
PAN,95,Panama,Central America,591
COL,100,Colombia,South America,170
VEN,101,Venezuela,South America,862
GUY,110,Guyana,South America,328
SUR,115,Suriname,South America,740
ECU,130,Ecuador,South America,218
PER,135,Peru,South America,604
BRA,140,Brazil,South America,76
BOL,145,Bolivia,South America,68
PAR,150,Paraguay,South America,600
PAR,150,Paraguay,South America,600
CHL,155,Chile,South America,152
ARG,160,Argentina,South America,32
URU,165,Uruguay,South America,858
UKG,200,United Kingdom,Northern Europe,826
IRE,205,Ireland,Northern Europe,372
NTH,210,Netherlands,Western Europe,528
NTH,210,Netherlands,Western Europe,528
BEL,211,Belgium,Western Europe,56
BEL,211,Belgium,Western Europe,56
LUX,212,Luxembourg,Western Europe,442
LUX,212,Luxembourg,Western Europe,442
FRN,220,France,Western Europe,250
FRN,220,France,Western Europe,250
MNC,221,Monaco,Western Europe,492
LIE,223,Liechtenstein,Western Europe,438
SWZ,225,Switzerland,Western Europe,756
SPN,230,Spain,Southern Europe,724
AND,232,Andorra,Southern Europe,20
