id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
183917,2014,0,2,4988,Greenlanders - NDV,5598,Greenlanders - NDV,1173,,Greenlanders,657,,NDV,1,"""Feelrivers,2014-04-26,BLOOD BATH IN ABUA, AS CULT GROUPS BATTLE FOR SUPREMACY""",Feelrivers,4/26/14,"BLOOD BATH IN ABUA, AS CULT GROUPS BATTLE FOR SUPREMACY",,1,Otari village,Rivers state,Abua/Odual lga,4.85989,6.66175,136454,Nigeria,475,Africa,2,4,4/1/14,4/25/14,0,0,0,2,2,2,2
157360,2014,1,1,13349,Myanmar (Burma):Palaung,14273,Government of Myanmar (Burma) - PSLF,144,775,Government of Myanmar (Burma),5965,,PSLF,1,"""The Irrawaddy,2014-07-18,178 Govt Troops Killed by TNLA This Year: Rebel Leaders""",The Irrawaddy,7/18/14,178 Govt Troops Killed by TNLA This Year: Rebel Leaders,TNLA headquarters,5,Northern Shan State,Shan State,,22.95,97.95,162556,Myanmar (Burma),775,Asia,2,5,1/1/14,7/18/14,0,10,0,0,10,10,166
164198,2014,1,1,329,Ethiopia:Ogaden,719,Government of Ethiopia - ONLF,97,530,Government of Ethiopia,497,,ONLF,-1,,,,,AGGREGATION,4,Somali state,Somali state,,7,44,140129,Ethiopia,530,Africa,2,5,1/1/14,12/31/14,0,0,0,25,25,25,0
128827,2014,1,2,4948,Birom - Fulani,5558,Birom - Fulani,589,,Birom,607,,Fulani,1,"""All Africa,2014-01-07,Nigerian Military Confirms Six Killed, Five Injured in Riyom, Plateau Attack""",All Africa,1/7/14,"Nigerian Military Confirms Six Killed, Five Injured in Riyom, Plateau Attack","the spokesperson of the Special Task Force, STF, Salisu Mustapha",1,Bachit village,Plateau state,Riyom lga,9.51667,8.7,143658,Nigeria,475,Africa,3,2,1/6/14,1/7/14,0,0,0,0,0,0,6
114000,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-10,Clashes erupt in west Iraq as standoff persists""",Agence France Presse,1/10/14,Clashes erupt in west Iraq as standoff persists,,1,Al Khālidīyah town,Al Anbār province,Qaḑā’ ar Ramādī,33.38728,43.522943,177568,Iraq,645,Middle East,1,1,1/10/14,1/10/14,0,0,2,0,2,2,2
157144,2014,1,3,11706,FPRC - Civilians,12382,FPRC - Civilians,4007,,FPRC,1,,Civilians,1,"""CAR Daily SITREP,2014-01-14,Safety and Security Section Bangui - République Centrafricaine DAILY CAR""",CAR Daily SITREP,1/14/14,Safety and Security Section Bangui - République Centrafricaine DAILY CAR,,1,Bangui city,Bangui province,Bangui region,4.366667,18.583333,135758,Central African Republic,482,Africa,1,1,1/11/14,1/11/14,0,0,3,0,3,3,3
152408,2014,1,1,386,Algeria:Government,830,Government of Algeria - AQIM,109,615,Government of Algeria,539,,AQIM,1,"""BBC Monitoring Middle East,2014-10-16,Algerian forces kill three rebels in Boumerdes Province""",BBC Monitoring Middle East,10/16/14,Algerian forces kill three rebels in Boumerdes Province,"Echourouk El Youmi website, Algiers, in Arabic 14 Oct 14",4,Boumerdes province,Boumerdes province,,36.75,3.666667,182528,Algeria,615,Africa,1,2,1/13/14,1/14/14,0,3,0,0,0,3,3
128855,2014,1,2,11480,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,12132,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4000,,Yan Gora,3,"""All Africa,2014-01-16,Sheriff Blames Maiduguri Bomb Blast On State Govt"";""Nigeria Watch IBD001702,2014-01-14,Boko Haram Kill 5, Borno"";""Premium Times,2014-02-02,Massacre in Borno as Boko Haram kills at least 250 in two weeks""",All Africa;Nigeria Watch IBD001702;Premium Times,2014-01-16;2014-01-14;2014-02-02,"Sheriff Blames Maiduguri Bomb Blast On State Govt;Boko Haram Kill 5, Borno;Massacre in Borno as Boko Haram kills at least 250 in two weeks","An eyewitness, Tijjani Moham",3,Mafa lga,Borno state,Mafa lga,11.925833,13.605556,146548,Nigeria,475,Africa,1,1,1/14/14,1/14/14,0,0,1,4,5,5,5
114032,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-16,Iraq launches assault on Anbar militant stronghold""",Agence France Presse,1/16/14,Iraq launches assault on Anbar militant stronghold,AFP,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,177568,Iraq,645,Middle East,1,1,1/16/14,1/16/14,0,0,0,2,2,2,2
157155,2014,1,3,11705,anti-Balaka - Civilians,12379,anti-Balaka - Civilians,4201,,anti-Balaka,1,,Civilians,2,"""CAR Daily SITREP,2014-01-16,Safety and Security Section Bangui - République Centrafricaine DAILY CAR"";""AI,2014-02-01,Ethnic Cleansing and Sectarian Killings in the Central African Republic""",CAR Daily SITREP;AI,2014-01-16;2014-02-01,Safety and Security Section Bangui - République Centrafricaine DAILY CAR;Ethnic Cleansing and Sectarian Killings in the Central African Republic,AI,2,Bouar town,Nana-Mambéré province,Bouar region,5.933314,15.59317,137912,Central African Republic,482,Africa,1,1,1/16/14,1/16/14,0,0,20,0,20,20,20
