firstname,lastname,Ccode,vcount,distrust,task,bace,igb,sc,cc,power
Abraham ,Lincoln,2,32548,0.295774648,0.674364896,0.269794721,0.144927536,0.382113821,0.618933205,0.232835821
Andrew,Jackson,2,88220,0.230018304,0.671171171,0.224797219,0.134786918,0.287709497,0.596153846,0.237983587
Andrew,Johnson,2,39323,0.233681462,0.638429752,0.256603774,0.13592233,0.392857143,0.558880309,0.294545455
Barack,Obama,2,5300065,0.141303411,0.592267329,0.409367458,0.125475188,0.388387335,0.593684002,0.290256654
Benjamin,Harris,2,60949,0.230620155,0.735312307,0.219739292,0.130081301,0.425714286,0.601094766,0.238721805
Calvin,Coolidge,2,513619,0.188708232,0.652539405,0.294851167,0.159717385,0.406859846,0.56822891,0.269735082
Chester,Arthur,2,40145,0.181001284,0.721126761,0.189910979,0.125874126,0.267295597,0.659202622,0.260997067
Donald,Trump,2,5095,0.217821782,0.5,0.394444444,0.15720524,0.296296296,0.453441296,0.357142857
Dwight,Eisenhower,2,1806959,0.171400833,0.532495447,0.337896332,0.161497996,0.453334796,0.523485072,0.250568932
Franklin,Pierce,2,45797,0.242740999,0.668439716,0.204013378,0.092307692,0.293103448,0.589714286,0.290849673
Franklin,Roosevelt,2,1484137,0.207452852,0.591198432,0.359419984,0.132214662,0.402915257,0.553249008,0.254086181
George,Washington,2,18264,0.290102389,0.497017893,0.248826291,0.186813187,0.183574879,0.630885122,0.290909091
GeorgeH.W.,Bush,2,2988683,0.119603586,0.529669887,0.348262787,0.145978366,0.408024131,0.58459072,0.276004455
GeorgeW,Bush,2,5597554,0.206950732,0.495061309,0.362123642,0.158689518,0.317866597,0.584984672,0.28177548
Gerald,Ford,2,346163,0.098925203,0.590221568,0.32120354,0.171989876,0.448495716,0.596802842,0.270672306
Grover,Cleveland,2,120275,0.277542373,0.706439922,0.209059233,0.113861386,0.305769231,0.592149866,0.281142857
Harry,Truman,2,1083902,0.119320039,0.602654617,0.358398813,0.179317763,0.429527605,0.523694391,0.272035949
Herbert,Hoover,2,334174,0.142367067,0.686348862,0.330075522,0.12300414,0.462950675,0.616139076,0.267598994
James,Buchanan,2,60490,0.242547425,0.703787879,0.18079096,0.150943396,0.29468599,0.580497569,0.23800738
James,Garfield,2,2995,0.2,0.430555556,0.225806452,0.088888889,0.277777778,0.546583851,0.424242424
James,Madison,2,24056,0.421267894,0.569204152,0.148148148,0.163879599,0.225490196,0.638247012,0.253012048
James,Monroe,2,50596,0.206566347,0.723651452,0.225058005,0.171641791,0.36318408,0.567205225,0.31678487
James,Polk,2,78118,0.185640362,0.689371697,0.223958333,0.166330645,0.321192053,0.598541981,0.304700162
Jimmy,Carter,2,3074307,0.073981373,0.57630273,0.331813069,0.160017809,0.441188081,0.621836809,0.261610034
John,Adams,2,12463,0.223350254,0.47761194,0.253246753,0.164772727,0.267857143,0.639676113,0.358974359
John,Kennedy,2,561916,0.106353229,0.613210663,0.322267811,0.132092019,0.571285942,0.612115657,0.259140718
John,Tyler,2,34356,0.242857143,0.685950413,0.251046025,0.18018018,0.228723404,0.578367551,0.231111111
JohnQuincy,Adams,2,34890,0.149405772,0.629776021,0.172043011,0.125333333,0.205128205,0.64735837,0.292307692
Lyndon,Johnson,2,1160642,0.097878605,0.553105242,0.358148237,0.129922224,0.430262206,0.569802631,0.266158839
Martin,Van Buren,2,49600,0.241212121,0.650326797,0.21038961,0.126126126,0.293548387,0.576125804,0.203125
Millard,Fillmore,2,32096,0.276707531,0.678743961,0.17921147,0.166037736,0.3,0.603212374,0.31010453
Richard,Nixon,2,685782,0.150901216,0.601984479,0.361581687,0.15019432,0.4303233,0.619180503,0.262004484
Ronald,Reagan,2,3719845,0.151820656,0.528478789,0.366476528,0.139422163,0.425392001,0.569041259,0.250635622
Rutherford,Hayes,2,47108,0.176406926,0.709002094,0.189542484,0.161971831,0.260416667,0.580615942,0.258675079
Theodore,Roosevelt,2,159228,0.333538462,0.706313646,0.310243183,0.135185185,0.336936937,0.54197823,0.297080292
Thomas,Jefferson,2,24594,0.296398892,0.491202346,0.261980831,0.166324435,0.279220779,0.616016427,0.298412698
Ulysses,Grant,2,75300,0.19566787,0.718214842,0.213414634,0.131147541,0.402535658,0.612903226,0.286567164
Warren,Harding,2,89762,0.213213213,0.588443396,0.28252373,0.111609647,0.390804598,0.556890725,0.255630631
William,Clinton,2,7522751,0.113887937,0.545600127,0.383669945,0.111497843,0.463481303,0.603277295,0.276286992
William,Harrison,2,8469,0.295857988,0.541666667,0.220930233,0.207792208,0.243589744,0.594339623,0.359550562
William,McKinley,2,82726,0.176234214,0.707247557,0.211438475,0.113832853,0.250632911,0.5595898,0.280991736
William,Taft,2,83409,0.141444115,0.74257116,0.210191083,0.122699387,0.377025037,0.602760085,0.27377892
Woodrow,Wilson,2,68122,0.286075949,0.575143235,0.332150461,0.147270115,0.360841424,0.530142946,0.313920455
Zachary,Taylor,2,8795,0.185393258,0.72244898,0.196969697,0.123893805,0.365384615,0.56440281,0.266666667
